City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lompoc,34.6391,-120.4579,17.23,72,100,0.89,US,1686586639
83,whitehorse,60.7161,-135.0538,13.34,61,78,4.47,CA,1686586120
84,codrington,-38.2667,141.9667,12.53,63,93,8.75,AU,1686586688
85,patnongon,10.9132,121.9937,26.9,84,93,1.8,PH,1686586689
86,ulladulla,-35.35,150.4667,11.42,68,46,2.22,AU,1686586689
87,beloyarskiy,63.7119,66.6722,8.54,52,36,3.07,RU,1686586689
88,nikolayevsk-on-amure,53.1406,140.73,8.51,97,100,1.06,RU,1686586689
89,saudarkrokur,65.7461,-19.6394,16.16,46,98,2.61,IS,1686586650
90,bikenibeu village,1.3673,173.1241,27.98,83,40,2.57,KI,1686586640
91,mount pearl,47.5166,-52.7813,8.86,89,100,8.23,CA,1686586689
92,verdal,63.7933,11.4817,21.02,60,6,5.45,NO,1686586689
93,nogliki,51.8333,143.1667,4.72,99,100,2.13,RU,1686586690
94,yanbu,24.0891,38.0637,35.02,36,0,7.72,SA,1686586574
95,codo,-4.4553,-43.8856,33.34,42,13,2.58,BR,1686586690
96,freetown,8.484,-13.2299,27.08,80,89,3.07,SL,1686586690
97,yamada,39.4667,141.95,16.41,97,100,1.52,JP,1686586665
98,iqaluit,63.7506,-68.5145,1.85,69,75,7.2,CA,1686586640
99,vilyuchinsk,52.9306,158.4028,8.15,67,0,3.81,RU,1686586668
100,zeya,53.75,127.2667,16.42,91,89,1.19,RU,1686586690
101,tartagal,-22.5164,-63.8013,11.62,33,100,3.14,AR,1686586690
102,thompson,55.7435,-97.8558,12.09,82,75,4.12,CA,1686586652
103,goba,7.0167,39.9833,11.89,85,82,0.77,ET,1686586577
104,crane,31.3974,-102.3501,32.43,27,0,5.87,US,1686586690
105,lerwick,60.1545,-1.1494,16.0,87,100,1.37,GB,1686586691
106,hithadhoo,-0.6,73.0833,28.87,72,62,2.85,MV,1686586647
107,katsuura,35.1333,140.3,21.48,93,96,2.23,JP,1686586691
108,ladario,-19.0047,-57.6017,14.16,82,100,5.14,BR,1686586691
109,ghanzi,-21.5667,21.7833,17.73,19,0,4.5,BW,1686586691
110,palmer,42.1584,-72.3287,26.91,54,75,6.69,US,1686586691
111,kourou,5.1552,-52.6478,28.03,69,38,3.91,GF,1686586691
112,avarua,-21.2078,-159.775,21.03,100,100,0.51,CK,1686586448
113,basco,20.4487,121.9702,27.6,87,100,13.01,PH,1686586691
114,isfahan,32.6572,51.6776,30.8,14,54,4.11,IR,1686586691
115,labytnangi,66.6572,66.4183,8.38,44,2,4.99,RU,1686586691
116,klyuchi,52.2667,79.1667,19.54,62,52,3.32,RU,1686586647
117,jamestown,42.097,-79.2353,19.77,78,100,4.63,US,1686586402
118,giyani,-23.3025,30.7187,23.28,28,7,3.2,ZA,1686586592
119,nantucket,41.2835,-70.0995,23.03,89,0,4.12,US,1686586692
120,twin falls,42.3505,-114.6445,17.19,63,75,2.57,US,1686586692
121,la passe,45.5549,-0.8967,20.13,87,100,4.69,FR,1686586649
122,gidole,5.65,37.3667,16.31,73,94,0.45,ET,1686586692
123,champerico,14.3,-91.9167,32.3,69,80,3.11,GT,1686586692
124,karema,-6.8205,30.4389,23.92,68,10,1.48,TZ,1686586692
125,primero de mayo,-32.2552,-58.4228,13.08,30,0,4.96,AR,1686586692
126,holualoa,19.6228,-155.9522,21.39,87,40,1.54,US,1686586692
127,taroa,8.7058,171.2275,28.07,76,88,9.18,MH,1686586692
128,afaahiti,-17.75,-149.2833,21.93,79,90,7.57,PF,1686586636
129,general conesa,-40.1,-64.4333,10.6,34,0,3.66,AR,1686586692
130,whangarei,-35.7317,174.3239,9.94,90,13,2.45,NZ,1686586693
131,tromso,69.6496,18.957,13.54,58,75,9.77,NO,1686586654
132,jalai nur,49.45,117.7,20.71,41,82,3.03,CN,1686586693
133,namibe,-15.1961,12.1522,20.26,62,9,4.38,AO,1686586640
134,vila franca do campo,37.7167,-25.4333,19.23,95,100,6.37,PT,1686586693
135,keflavik,64.0049,-22.5624,10.24,71,75,4.63,IS,1686586654
136,aasiaat,68.7098,-52.8699,1.22,76,32,13.87,GL,1686586640
137,tela,15.7833,-87.45,32.97,66,20,5.14,HN,1686586693
138,hamilton,39.1834,-84.5333,18.35,86,100,5.14,US,1686586639
139,usinsk,65.9939,57.5281,9.63,55,91,5.39,RU,1686586693
140,stanley,54.868,-1.6985,23.74,61,0,2.57,GB,1686586693
141,homer,59.6425,-151.5483,8.91,74,40,2.68,US,1686586606
142,new norfolk,-42.7826,147.0587,9.4,81,77,1.15,AU,1686586693
143,kailua-kona,19.6406,-155.9956,23.46,86,40,1.54,US,1686586693
144,bubaque,11.2833,-15.8333,27.64,79,82,4.59,GW,1686586662
145,cascais,38.6979,-9.4215,25.9,84,75,5.81,PT,1686586694
146,ubari,26.5921,12.7805,38.11,12,0,6.86,LY,1686586694
147,machico,32.7,-16.7667,22.85,78,75,4.12,PT,1686586694
148,robore,-18.3333,-59.75,11.05,100,100,0.0,BO,1686586694
149,bac lieu,9.285,105.7244,28.43,81,100,4.38,VN,1686586694
150,seminole,28.7086,-81.2081,33.97,64,40,5.14,US,1686586624
151,brak,27.5496,14.2714,37.01,16,0,7.34,LY,1686586694
